Voxel_Number,X,Y,Z
349,7,39,29
350,7,39,30
351,7,39,31
352,7,39,32
353,7,40,25
354,7,40,26
355,7,40,27
356,7,40,28
357,7,40,29
358,7,40,30
359,7,40,31
360,7,40,32
361,7,41,28
362,7,41,29
363,7,41,30
364,8,23,21
365,8,23,22
366,8,23,23
367,8,23,24
368,8,23,25
369,8,23,26
370,8,23,27
371,8,24,20
372,8,24,21
373,8,24,22
374,8,24,23
375,8,24,24
376,8,24,25
377,8,24,26
378,8,24,27
379,8,24,28
380,8,24,29
381,8,24,30
382,8,24,31
383,8,24,32
384,8,25,20
385,8,25,21
386,8,25,22
387,8,25,23
388,8,25,24
389,8,25,25
390,8,25,26
391,8,25,27
392,8,25,28
393,8,25,29
394,8,25,30
395,8,25,31
396,8,25,32
397,8,26,19
398,8,26,20
399,8,26,21
400,8,26,22
401,8,26,23
402,8,26,24
403,8,26,25
404,8,26,26
405,8,26,27
406,8,26,28
407,8,26,29
408,8,26,30
409,8,26,31
410,8,26,32
411,8,26,33
412,8,26,34
413,8,26,35
414,8,27,17
415,8,27,18
416,8,27,19
417,8,27,20
418,8,27,21
419,8,27,22
420,8,27,23
421,8,27,24
422,8,27,25
423,8,27,26
424,8,27,27
425,8,27,28
426,8,27,29
427,8,27,30
428,8,27,31
429,8,27,32
430,8,27,33
431,8,27,34
432,8,27,35
433,8,27,36
434,8,27,37
435,8,27,38
436,8,28,17
437,8,28,18
438,8,28,19
439,8,28,20
440,8,28,21
441,8,28,22
442,8,28,23
443,8,28,24
444,8,28,25
445,8,28,26
446,8,28,27
447,8,28,28
448,8,28,29
449,8,28,30
450,8,28,31
451,8,28,32
452,8,28,33
453,8,28,34
454,8,28,35
455,8,28,36
456,8,28,37
457,8,28,38
458,8,29,17
459,8,29,18
460,8,29,19
461,8,29,20
462,8,29,21
463,8,29,22
464,8,29,23
465,8,29,24
466,8,29,25
467,8,29,26
468,8,29,27
469,8,29,28
470,8,29,29
471,8,29,30
472,8,29,31
473,8,29,32
474,8,29,33
475,8,29,34
476,8,29,35
477,8,29,36
478,8,29,37
479,8,29,38
480,8,29,39
481,8,30,15
482,8,30,16
483,8,30,17
484,8,30,18
485,8,30,19
486,8,30,20
487,8,30,21
488,8,30,22
489,8,30,23
490,8,30,24
491,8,30,25
492,8,30,26
493,8,30,27
494,8,30,28
495,8,30,29
496,8,30,30
497,8,30,31
498,8,30,32
499,8,30,33
500,8,30,34
501,8,30,35
502,8,30,36
503,8,30,37
504,8,30,38
505,8,30,39
506,8,30,40
507,8,31,14
508,8,31,15
509,8,31,16
510,8,31,17
511,8,31,18
512,8,31,19
513,8,31,20
514,8,31,21
515,8,31,22
516,8,31,23
517,8,31,24
518,8,31,25
519,8,31,26
520,8,31,27
521,8,31,28
522,8,31,29
523,8,31,30
524,8,31,31
525,8,31,32
526,8,31,33
527,8,31,34
528,8,31,35
529,8,31,36
530,8,31,37
531,8,31,38
532,8,31,39
533,8,32,13
534,8,32,14
535,8,32,15
536,8,32,16
537,8,32,17
538,8,32,18
539,8,32,19
540,8,32,20
541,8,32,21
542,8,32,22
543,8,32,23
544,8,32,24
545,8,32,25
546,8,32,26
547,8,32,27
548,8,32,28
549,8,32,29
550,8,32,30
551,8,32,31
552,8,32,32
553,8,32,33
554,8,32,34
555,8,32,35
556,8,32,36
557,8,32,37
558,8,32,38
559,8,33,13
560,8,33,14
561,8,33,15
562,8,33,16
563,8,33,17
564,8,33,18
565,8,33,19
566,8,33,20
567,8,33,21
568,8,33,22
569,8,33,23
570,8,33,24
571,8,33,25
572,8,33,26
573,8,33,27
574,8,33,28
575,8,33,29
576,8,33,30
577,8,33,31
578,8,33,32
579,8,33,33
580,8,33,34
581,8,33,35
582,8,33,36
583,8,33,37
584,8,33,38
585,8,34,13
586,8,34,14
587,8,34,15
588,8,34,16
589,8,34,17
590,8,34,18
591,8,34,19
592,8,34,20
593,8,34,21
594,8,34,22
595,8,34,23
596,8,34,24
597,8,34,25
598,8,34,26
599,8,34,27
600,8,34,28
601,8,34,29
602,8,34,30
603,8,34,31
604,8,34,32
605,8,34,33
606,8,34,34
607,8,34,35
608,8,34,36
609,8,34,37
610,8,35,13
611,8,35,14
612,8,35,15
613,8,35,16
614,8,35,17
615,8,35,18
616,8,35,19
617,8,35,20
618,8,35,21
619,8,35,22
620,8,35,23
621,8,35,24
622,8,35,25
623,8,35,26
624,8,35,27
625,8,35,28
626,8,35,29
627,8,35,30
628,8,35,31
629,8,35,32
630,8,35,33
631,8,35,34
632,8,35,35
633,8,35,36
634,8,35,37
635,8,36,12
636,8,36,13
637,8,36,14
638,8,36,15
639,8,36,16
640,8,36,17
641,8,36,18
642,8,36,19
643,8,36,20
644,8,36,21
645,8,36,22
646,8,36,23
647,8,36,24
648,8,36,25
649,8,36,26
650,8,36,27
651,8,36,28
652,8,36,29
653,8,36,30
654,8,36,31
655,8,36,32
656,8,36,33
657,8,36,34
658,8,36,35
659,8,36,36
660,8,36,37
661,8,37,12
662,8,37,13
663,8,37,14
664,8,37,15
665,8,37,16
666,8,37,17
667,8,37,18
668,8,37,19
669,8,37,20
670,8,37,21
671,8,37,22
672,8,37,23
673,8,37,24
674,8,37,25
675,8,37,26
676,8,37,27
677,8,37,28
678,8,37,29
679,8,37,30
680,8,37,31
681,8,37,32
682,8,37,33
683,8,37,34
684,8,37,35
685,8,37,36
686,8,38,12
687,8,38,13
688,8,38,14
689,8,38,15
690,8,38,16
691,8,38,17
692,8,38,18
693,8,38,19
694,8,38,20
695,8,38,21
696,8,38,22
697,8,38,23
698,8,38,24
699,8,38,25
700,8,38,26
701,8,38,27
702,8,38,28
703,8,38,29
704,8,38,30
705,8,38,31
706,8,38,32
707,8,38,33
708,8,38,34
709,8,38,35
710,8,39,13
711,8,39,14
712,8,39,15
713,8,39,16
714,8,39,17
715,8,39,18
716,8,39,19
717,8,39,20
718,8,39,21
719,8,39,22
720,8,39,23
721,8,39,24
722,8,39,25
723,8,39,26
724,8,39,27
725,8,39,28
726,8,39,29
727,8,39,30
728,8,39,31
729,8,39,32
730,8,39,33
731,8,39,34
732,8,39,35
733,8,39,36
734,8,40,13
735,8,40,14
736,8,40,15
737,8,40,16
738,8,40,17
739,8,40,18
740,8,40,19
741,8,40,20
742,8,40,21
743,8,40,22
744,8,40,23
745,8,40,24
746,8,40,25
747,8,40,26
748,8,40,27
749,8,40,28
750,8,40,29
751,8,40,30
752,8,40,31
753,8,40,32
754,8,40,33
755,8,40,34
756,8,40,35
757,8,40,36
758,8,41,15
759,8,41,16
760,8,41,17
761,8,41,18
762,8,41,19
763,8,41,20
764,8,41,21
765,8,41,22
766,8,41,23
767,8,41,24
768,8,41,25
769,8,41,26
770,8,41,27
771,8,41,28
772,8,41,29
773,8,41,30
774,8,41,31
775,8,41,32
776,8,41,33
777,8,41,34
778,8,41,35
779,8,41,36
780,8,42,25
781,8,42,26
782,8,42,27
783,8,42,28
784,8,42,29
785,8,42,30
786,8,42,31
787,8,42,32
788,8,42,33
789,8,42,34
790,8,42,35
791,8,42,36
792,8,43,25
793,8,43,26
794,8,43,27
795,8,43,28
796,8,43,29
797,8,43,30
798,8,43,31
799,8,43,32
800,8,43,33
801,8,43,34
802,8,43,35
803,8,43,36
804,8,44,24
805,8,44,25
806,8,44,26
807,8,44,27
808,8,44,28
809,8,44,29
810,8,44,30
811,8,44,31
812,8,44,32
813,8,44,33
814,8,44,34
815,8,44,35
816,8,44,36
817,8,45,24
818,8,45,25
819,8,45,26
820,8,45,27
821,8,45,28
822,8,45,29
823,8,45,30
824,8,45,31
825,8,45,32
826,8,45,33
827,8,45,34
828,8,46,24
829,8,46,25
830,8,46,26
831,8,46,27
832,8,46,28
833,8,46,29
834,8,46,30
835,8,46,31
836,8,46,32
837,8,46,33
838,8,46,34
839,8,47,30
840,8,47,31
841,8,47,32
842,9,21,22
843,9,21,23
844,9,21,24
845,9,21,25
846,9,21,26
847,9,22,19
848,9,22,20
849,9,22,21
850,9,22,22
851,9,22,23
852,9,22,24
853,9,22,25
854,9,22,26
855,9,22,27
856,9,22,28
857,9,22,29
858,9,22,30
859,9,22,31
860,9,22,32
861,9,23,18
862,9,23,19
863,9,23,20
864,9,23,21
865,9,23,22
866,9,23,23
867,9,23,24
868,9,23,25
869,9,23,26
870,9,23,27
871,9,23,28
872,9,23,29
873,9,23,30
874,9,23,31
875,9,23,32
876,9,24,18
877,9,24,19
878,9,24,20
879,9,24,21
880,9,24,22
881,9,24,23
882,9,24,24
883,9,24,25
884,9,24,26
885,9,24,27
886,9,24,28
887,9,24,29
888,9,24,30
889,9,24,31
890,9,24,32
891,9,24,33
892,9,24,34
893,9,24,35
894,9,24,36
895,9,24,37
896,9,24,38
897,9,25,16
898,9,25,17
899,9,25,18
900,9,25,19
901,9,25,20
902,9,25,21
903,9,25,22
904,9,25,23
905,9,25,24
906,9,25,25
907,9,25,26
908,9,25,27
909,9,25,28
910,9,25,29
911,9,25,30
912,9,25,31
913,9,25,32
914,9,25,33
915,9,25,34
916,9,25,35
917,9,25,36
918,9,25,37
919,9,25,38
920,9,25,39
921,9,26,16
922,9,26,17
923,9,26,18
924,9,26,19
925,9,26,20
926,9,26,21
927,9,26,22
928,9,26,23
929,9,26,24
930,9,26,25
931,9,26,26
932,9,26,27
933,9,26,28
934,9,26,29
935,9,26,30
936,9,26,31
937,9,26,32
938,9,26,33
939,9,26,34
940,9,26,35
941,9,26,36
942,9,26,37
943,9,26,38
944,9,26,39
945,9,27,16
946,9,27,17
947,9,27,18
948,9,27,19
949,9,27,20
950,9,27,21
951,9,27,22
952,9,27,23
953,9,27,24
954,9,27,25
955,9,27,26
956,9,27,27
957,9,27,28
958,9,27,29
959,9,27,30
960,9,27,31
961,9,27,32
962,9,27,33
963,9,27,34
964,9,27,35
965,9,27,36
966,9,27,37
967,9,27,38
968,9,27,39
969,9,27,40
970,9,28,16
971,9,28,17
972,9,28,18
973,9,28,19
974,9,28,20
975,9,28,21
976,9,28,22
977,9,28,23
978,9,28,24
979,9,28,25
980,9,28,26
